,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
316,Obit.,"$315,049",Kino Lorber,Documentary,Unrated,"January 5, 2017",1 hrs. 35 min.,N/A,N/A,N/A,N/A
317,Citizen Jane,"$313,411",IFC,Documentary,Unrated,"April 21, 2017",1 hrs. 33 min.,N/A,N/A,N/A,N/A
318,City of Rock,"$312,537",Well Go USA,Comedy,Unrated,"October 6, 2017",2 hrs. 20 min.,N/A,N/A,N/A,N/A
319,The Breadwinner,"$312,381Domestic Lifetime Gross $313,215",GKIDS,Animation,PG-13,"November 17, 2017",1 hrs. 34 min.,N/A,N/A,N/A,N/A
320,A Silent Voice,"$310,407",Eleven Arts,Animation,Unrated,"October 20, 2017",2 hrs. 10 min.,N/A,N/A,N/A,N/A
321,My Life as a Zucchini,"$309,766",GKIDS,Animation,PG-13,"February 24, 2017",1 hrs. 8 min.,N/A,N/A,N/A,N/A
322,Happy End,"$301,718",Sony Classics,Foreign,R,"December 22, 2017",1 hrs. 47 min.,N/A,Michael Haneke,N/A,N/A
323,ITTEFAQ,"$298,032",Yash Raj,Action Thriller,Unrated,"November 3, 2017",1 hrs. 40 min.,N/A,N/A,N/A,N/A
324,Buddies in India,"$293,194",China Lion,Action Comedy,Unrated,"January 27, 2017",1 hrs. 39 min.,N/A,N/A,N/A,N/A
325,I Do... Until I Don't,"$280,668",The Film Arcade,Comedy,R,"September 1, 2017",1 hrs. 46 min.,N/A,Lake Bell,Lake Bell,"Lake Bell,Ed Helms,Amber Heard"
326,After the Storm,"$272,132",Film Movement,Drama,Unrated,"March 17, 2017",1 hrs. 57 min.,N/A,N/A,N/A,N/A
327,Stalker (2017 re-release),"$269,881",Janus Films,Sci-Fi,Unrated,"May 5, 2017",2 hrs. 41 min.,N/A,N/A,N/A,N/A
328,Wakefield,"$262,599",IFC,Drama,R,"May 19, 2017",1 hrs. 46 min.,N/A,N/A,N/A,"Bryan Cranston,Jennifer Garner,Jason O'Mara"
329,"I, Daniel Blake","$260,354",IFC,Drama,R,"June 2, 2017",1 hrs. 40 min.,N/A,N/A,N/A,N/A
330,Cezanne et moi,"$257,597",Magnolia,Drama,R,"March 31, 2017",1 hrs. 53 min.,N/A,N/A,N/A,N/A
331,Dean,"$254,536",CBS Films,Comedy / Drama,PG-13,"June 2, 2017",1 hrs. 33 min.,N/A,Demetri Martin,N/A,"Demetri Martin,Kevin Kline"
332,The Fortress,"$252,895",CJ Entertainment,Action Drama,Unrated,"October 6, 2017",2 hrs. 20 min.,N/A,N/A,N/A,N/A
333,Gook,"$250,130",Samuel Goldwyn,Drama,Unrated,"August 18, 2017",1 hrs. 34 min.,N/A,N/A,N/A,N/A
